Metropolitan area,Country,Pop.rank,Population (2016 est.)[8],B4,NFL,MLB,NBA,NHL,B6,MLS,CFL
New York City,United States,1,20153634,9,GiantsJets[note 1],YankeesMets[note 2],KnicksNets,RangersIslandersDevils[note 3],11,Red BullsNew York City FC,—
Los Angeles,United States,2,13310447,8,RamsChargers[note 4],DodgersAngels,LakersClippers,KingsDucks,10,GalaxyLos Angeles FC[note 5],—
Chicago,United States,3,9512999,5,Bears[note 6],CubsWhite Sox,Bulls[note 7],Blackhawks,6,Fire,—
San Francisco Bay Area,United States,6,6657982,5,49ers[note 8],GiantsAthletics,Warriors,Sharks[note 9],6,Earthquakes,—
Dallas–Fort Worth,United States,4,7233323,4,Cowboys,Rangers,Mavericks,Stars,5,FC Dallas,—
"Washington, D.C.",United States,7,6131977,4,Washington Football Team[note 10],Nationals[note 11],Wizards[note 12],Capitals,5,D.C. United,—
Philadelphia,United States,8,6070500,4,Eagles,Phillies[note 13],76ers,Flyers[note 14],5,Union,—
Miami–Fort Lauderdale,United States,9,6066387,4,Dolphins,Marlins,Heat,Panthers,5,Inter Miami CF[note 15],—
Boston,United States,12,4794447,4,Patriots[note 16],Red Sox[note 17],Celtics,Bruins,5,Revolution,—
Minneapolis–Saint Paul,United States,17,3551036,4,Vikings,Twins,Timberwolves[note 18],Wild[note 19],5,United FC,—
Denver,United States,20,2853077,4,Broncos,Rockies,Nuggets[note 20],Avalanche[note 21],5,Rapids,—
Phoenix,United States,13,4661537,4,Cardinals,Diamondbacks,Suns,Coyotes,4,—,—
Detroit,United States,14,4297617,4,Lions,Tigers[note 22],Pistons[note 23],Red Wings,4,—,—
Toronto,Canada,10,5928040,3,— [note 24],Blue Jays,Raptors[note 25],Maple Leafs,5,Toronto FC,Argonauts
Houston,United States,5,6772470,3,Texans[note 26],Astros,Rockets,—,4,Dynamo,—
Atlanta,United States,11,5789700,3,Falcons,Braves,Hawks,[note 27],4,United FC,—
Seattle,United States,16,3798902,3,Seahawks,Mariners,[note 28],Kraken,4,Sounders FC,—
Tampa Bay Area,United States,19,3032171,3,Buccaneers,Rays,[note 29],Lightning,3,[note 30],—
Pittsburgh,United States,28,2342299,3,Steelers,Pirates,[note 31],Penguins[note 32],3,—,—
Cleveland,United States,34,2055612,3,Browns[note 33],Indians[note 34],Cavaliers[note 35],[note 36],3,—,—
Cincinnati,United States,31,2165139,2,Bengals,Reds[note 37],[note 38],—,3,FC Cincinnati,—
Kansas City,United States,33,2104509,2,Chiefs,Royals[note 39],[note 40],[note 41],3,Sporting Kansas City,—
Nashville,United States,37,1865298,2,Titans,—,—,Predators,3,Nashville SC,—
St. Louis,United States,21,2807002,2,[note 42],Cardinals[note 43],[note 44],Blues[note 45],2,[note 46],—
Baltimore,United States,22,2798886,2,Ravens[note 47],Orioles[note 48],[note 49],—,2,—,[note 50]
Charlotte,United States,23,2474314,2,Panthers,—,Hornets[note 51],—,2,[note 52],—
Las Vegas,United States,32,2155664,2,Raiders,—,[note 53],Golden Knights,2,—,[note 54]
Indianapolis,United States,36,2004230,2,Colts,[note 55],Pacers[note 56],—,2,—,—
Milwaukee,United States,38,1572482,2,[note 57],Brewers[note 58],Bucks,—,2,—,—
New Orleans,United States,46,1268883,2,Saints,—,Pelicans[note 59],—,2,—,—
Buffalo,United States,48,1132804,2,Bills[note 60],[note 61],[note 62],Sabres,2,—,—
Montreal,Canada,15,4098927,1,—,[note 63],—,Canadiens,3,CF Montréal,Alouettes
Vancouver,Canada,24,2463431,1,—,—,[note 64],Canucks,3,Whitecaps FC,Lions
Orlando,United States,25,2441257,1,—,—,Magic,—,2,Orlando City SC,—
Portland,United States,27,2424955,1,—,—,Trail Blazers,—,2,Timbers,—
Columbus,United States,35,2041520,1,—,—,—,Blue Jackets,2,Crew,—
Calgary,Canada,40,1392609,1,—,—,—,Flames,2,—,Stampeders
Ottawa,Canada,43,1323783,1,—,—,—,Senators,2,—,Redblacks[note 65]
Edmonton,Canada,44,1321426,1,—,—,—,Oilers,2,—,Elks[note 66]
Salt Lake City,United States,47,1186187,1,—,—,Jazz,—,2,Real Salt Lake,—
Winnipeg,Canada,67,778489,1,—,—,—,Jets[note 67],2,—,Blue Bombers
San Diego,United States,18,3317749,1,[note 68],Padres,[note 69],—,1,—,—
San Antonio,United States,26,2429609,1,[note 70],—,Spurs,—,1,—,[note 71]
Sacramento,United States,29,2296418,1,—,—,Kings,—,1,—,[note 72]
Jacksonville,United States,39,1478212,1,Jaguars,—,—,—,1,—,—
Oklahoma City,United States,41,1373211,1,—,—,Thunder[note 73],—,1,—,—
Memphis,United States,42,1342842,1,[note 74],—,Grizzlies,—,1,—,[note 75]
Raleigh,United States,45,1302946,1,—,—,—,Hurricanes,1,—,—
Green Bay,United States,—,318236,1,Packers,—,—,—,1,—,—
Austin,United States,30,2227083,0,—,—,—,—,1,Austin FC,—
Hamilton,Canada,—,747545,0,—,—,—,[note 76],1,—,Tiger-Cats
Regina,Canada,—,236481,0,—,—,—,—,1,—,Roughriders
Totals,—,—,–,123,32,30,30,31[note 77],159,27[note 78],9
